name	z	dl_UCLA(Mpc)	t90	lc_wget	TriggerTime(MET)
GRB160804A	0.736	4586.1	130.	http://www.swift.ac.uk/xrt_curves/00707231/flux.qdp	491967183.7
GRB160629A	3.332	29415.7	66.6	http://www.swift.ac.uk/xrt_curves/00020676/flux.qdp	488931570.0
GRB160623A	0.367	1981.5	13.5	http://www.swift.ac.uk/xrt_curves/00020666/flux.qdp	488350834.0
GRB160509A	1.17	8145.0	14.6	http://www.swift.ac.uk/xrt_curves/00020607/flux.qdp	484477144.0
GRB160425A	0.555	3247.9	304.58	http://www.swift.ac.uk/xrt_curves/00684098/flux.qdp	483319587.5
GRB160410AS	1.717	13107.4	8.2	http://www.swift.ac.uk/xrt_curves/00682269/flux.qdp	481957804.2
GRB160314A	0.726	4509.5	8.73	http://www.swift.ac.uk/xrt_curves/00679120/flux.qdp	479647987.8
GRB160228A	1.64	12384.7	98.36	http://www.swift.ac.uk/xrt_curves/00676595/flux.qdp	478373688.4
GRB160227A	2.38	19574.2	316.5	http://www.swift.ac.uk/xrt_curves/00676423/flux.qdp	478294344.0
GRB160203A	3.52	31416.6	20.2	http://www.swift.ac.uk/xrt_curves/00672525/flux.qdp	476158406.4
GRB160131A	0.972	6469.1	325.	http://www.swift.ac.uk/xrt_curves/00672236/flux.qdp	475921247.7
GRB160121A	1.960	15430.5	12.	http://www.swift.ac.uk/xrt_curves/00671231/flux.qdp	475077053.4
GRB151215A	2.59	21697.3	17.8	http://www.swift.ac.uk/xrt_curves/00667392/flux.qdp	471841304.5
GRB151031A	1.167	8119.	5.	http://www.swift.ac.uk/xrt_curves/00662330/flux.qdp	467963445.7
GRB151029A	1.423	10387.5	8.95	http://www.swift.ac.uk/xrt_curves/00662086/flux.qdp	467797794.3
GRB151027B	4.063	37280.7	80.	http://www.swift.ac.uk/xrt_curves/00661869/flux.qdp	467678456.0
GRB151027A	0.81	5161.3	129.69	http://www.swift.ac.uk/xrt_curves/00661775/flux.qdp	467611119.5
GRB151021A	2.33	19073.4	110.2	http://www.swift.ac.uk/xrt_curves/00660671/flux.qdp	467083767.9
GRB150915A	1.968	15508.	164.7	http://www.swift.ac.uk/xrt_curves/00655721/flux.qdp	464044720.0
GRB150910A	1.359	9810.7	112.2	http://www.swift.ac.uk/xrt_curves/00655097/flux.qdp	463568704.0
GRB150821A	0.755	4732.3	172.1	http://www.swift.ac.uk/xrt_curves/00652847/flux.qdp	461843056.0
GRB150818A	0.282	1458.5	123.3	http://www.swift.ac.uk/xrt_curves/00652603/flux.qdp	461590607.9
GRB150727A	0.313	1645.3	88.	http://www.swift.ac.uk/xrt_curves/00650530/flux.qdp	459716537.3
GRB150514A	0.807	5137.7	10.8	http://www.swift.ac.uk/xrt_curves/00020510/flux.qdp	453321305.0
GRB150403A	2.06	16403.4	40.90	http://www.swift.ac.uk/xrt_curves/00637044/flux.qdp	449790870.2
GRB150323A	0.593	3520.0	149.6	http://www.swift.ac.uk/xrt_curves/00635887/flux.qdp	448771768.0
GRB150314A	1.758	13495.0	14.79	http://www.swift.ac.uk/xrt_curves/00634795/flux.qdp	448001706.2
GRB150301B	1.5169	11244.1	12.44	http://www.swift.ac.uk/xrt_curves/00633180/flux.qdp	446931497.3
GRB150206A	2.087	16667.6	83.2	http://www.swift.ac.uk/xrt_curves/00630019/flux.qdp	444925816.0
GRB141225A	0.915	6001.8	40.24	https://www.swift.ac.uk/xrt_curves/00622476/flux.qdp	441241280.0
GRB141221A	1.452	10650.8	23.8	https://www.swift.ac.uk/xrt_curves/00622006/flux.qdp	440842043.9
GRB141220A	1.3195	9457.8	7.21	https://www.swift.ac.uk/xrt_curves/00621915/flux.qdp	440748185.6
GRB141121A	1.47	10814.8	549.9	https://www.swift.ac.uk/xrt_curves/00619182/flux.qdp	438234656.0	
GRB141109A	2.993	25851.3	200	https://www.swift.ac.uk/xrt_curves/00618024/flux.qdp	437205008.0
GRB141028A	2.33	19073.4	31.5	https://www.swift.ac.uk/xrt_curves/00020420/flux.qdp	436186503.0
GRB200205B	1.465	10769.2	458.0	https://www.swift.ac.uk/xrt_curves/00954519/flux.qdp	602623328.0
GRB191221B	1.148	7955.0	48.0	https://www.swift.ac.uk/xrt_curves/00945521/flux.qdp	598653577.3
GRB191019A	0.248	1259.1	64.35	https://www.swift.ac.uk/xrt_curves/00930285/flux.qdp	593190777.4
GRB191011A	1.722	13154.6	13.	https://www.swift.ac.uk/xrt_curves/00928924/flux.qdp	592461380.2
GRB191004B	3.503	31235.0	37.7	https://www.swift.ac.uk/xrt_curves/00927839/flux.qdp	591917645.4
GRB190829A	0.0785	358.4	63.	https://www.swift.ac.uk/xrt_curves/00922968/flux.qdp	588801428.1
GRB190719C	2.469	20470.2	185.7	https://www.swift.ac.uk/xrt_curves/00915381/flux.qdp	585241137.7
GRB190613A	2.78	23643.5	18.	https://www.swift.ac.uk/xrt_curves/00908288/flux.qdp	582091661.4
